epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1102.25,0.84342,1.11215,0.18479,0.50299,0.85454,0.98916,0.9952,0.99221,0.7526,0.94071,0.94642,0.92946,0.76179,0.8656,1.20165,0.07474,0.46679,0.8436,0.000675023,0.000675023,0.000675023
28,1130.94,0.842,1.06167,0.17373,0.50823,0.8498,0.98516,0.99221,0.99263,0.75757,0.93373,0.949,0.92312,0.75445,0.87659,1.18435,0.07128,0.47474,0.84237,0.000666024,0.000666024,0.000666024
29,1157.88,0.84636,1.13374,0.18399,0.50279,0.85248,0.98413,0.9955,0.99247,0.75769,0.9406,0.95162,0.93466,0.75978,0.87021,1.20706,0.07031,0.46958,0.84033,0.000657025,0.000657025,0.000657025
30,1205.51,0.8396,1.02321,0.17902,0.50089,0.85004,0.98198,0.99016,0.99196,0.75405,0.93059,0.93616,0.9174,0.75331,0.85771,1.20454,0.07142,0.46047,0.84226,0.000648026,0.000648026,0.000648026
31,1266.62,0.84873,1.02647,0.17326,0.49933,0.85185,0.98676,0.99553,0.9926,0.75979,0.94298,0.94949,0.9256,0.76424,0.8455,1.18222,0.07198,0.45749,0.84138,0.000639027,0.000639027,0.000639027
32,1317.68,0.82579,1.06434,0.17322,0.49377,0.85107,0.98608,0.99509,0.99348,0.76411,0.94645,0.94467,0.92928,0.76853,0.84498,1.17794,0.06732,0.44733,0.84324,0.000630028,0.000630028,0.000630028
33,1352.88,0.83477,1.07807,0.16752,0.49497,0.84971,0.98664,0.99526,0.99238,0.75492,0.93839,0.94899,0.92612,0.78313,0.84691,1.15677,0.06428,0.45129,0.83841,0.000621029,0.000621029,0.000621029
34,1420.07,0.8292,1.00717,0.16145,0.48775,0.84906,0.98461,0.99608,0.99207,0.76819,0.94399,0.94011,0.92336,0.77105,0.84636,1.2042,0.06275,0.4498,0.84139,0.00061203,0.00061203,0.00061203
35,1453.81,0.84724,1.03178,0.15963,0.4906,0.84741,0.98552,0.99683,0.99265,0.76167,0.94038,0.9521,0.92821,0.76057,0.84666,1.1783,0.06073,0.443,0.83589,0.000603031,0.000603031,0.000603031
36,1464.81,0.83787,0.96574,0.15739,0.49139,0.8527,0.9854,0.99418,0.99269,0.76241,0.9431,0.95397,0.94373,0.77148,0.85239,1.12659,0.05957,0.45094,0.84044,0.000594031,0.000594031,0.000594031
37,1475.52,0.82911,0.99577,0.14377,0.48834,0.84966,0.98546,0.9957,0.99335,0.76346,0.94612,0.95446,0.9395,0.78872,0.84716,1.12411,0.0556,0.44481,0.83931,0.000585032,0.000585032,0.000585032
38,1486.45,0.8206,0.91729,0.15842,0.47632,0.84501,0.98616,0.99908,0.99309,0.76587,0.94243,0.95331,0.92954,0.7818,0.83313,1.12705,0.05517,0.43176,0.83603,0.000576033,0.000576033,0.000576033
39,1497.61,0.79992,0.92147,0.15964,0.46706,0.83887,0.98664,0.99658,0.99296,0.77435,0.94374,0.95278,0.93758,0.80584,0.82749,1.10445,0.05922,0.42455,0.83353,0.000567034,0.000567034,0.000567034
40,1508.64,0.8149,0.938,0.15735,0.47073,0.84854,0.98444,0.9987,0.99196,0.76431,0.93959,0.95321,0.92776,0.80149,0.83277,1.04994,0.05474,0.43654,0.83672,0.000558035,0.000558035,0.000558035
41,1519.52,0.79625,0.90631,0.14633,0.46382,0.84329,0.97945,0.99636,0.99168,0.7721,0.94913,0.95442,0.94307,0.80712,0.83028,1.06492,0.04999,0.43313,0.83687,0.000549036,0.000549036,0.000549036
42,1530.42,0.80679,0.85934,0.14431,0.47052,0.84777,0.98541,0.99876,0.99143,0.76053,0.94108,0.95393,0.93556,0.79106,0.84841,1.09996,0.05042,0.4336,0.83728,0.000540037,0.000540037,0.000540037
43,1541.42,0.81125,0.88192,0.1442,0.47491,0.8382,0.9872,0.99831,0.99329,0.77697,0.94718,0.95587,0.93917,0.80695,0.827,1.07366,0.04928,0.43718,0.83789,0.000531038,0.000531038,0.000531038
44,1552.39,0.78513,0.93707,0.13826,0.45666,0.84245,0.98533,0.99842,0.99286,0.76982,0.94658,0.95362,0.93803,0.82078,0.81932,1.05139,0.04917,0.42102,0.83652,0.000522039,0.000522039,0.000522039
45,1563.32,0.7868,0.89292,0.13964,0.45219,0.84653,0.98395,0.99692,0.99163,0.76465,0.94461,0.95547,0.9402,0.80302,0.83787,1.05133,0.0482,0.43116,0.83398,0.00051304,0.00051304,0.00051304
46,1574.21,0.78861,0.88871,0.13061,0.45342,0.83744,0.98569,0.99824,0.99281,0.76583,0.94162,0.95379,0.93072,0.80332,0.82437,1.04731,0.04775,0.42006,0.82958,0.00050404,0.00050404,0.00050404
47,1584.82,0.78084,0.87773,0.13645,0.44628,0.84037,0.98544,0.99675,0.99359,0.7779,0.94764,0.95617,0.94297,0.8097,0.82434,1.04944,0.04496,0.41243,0.83262,0.000495041,0.000495041,0.000495041
48,1595.52,0.78501,0.83921,0.13274,0.44938,0.8447,0.99117,0.9964,0.99308,0.77246,0.94547,0.94973,0.93064,0.79882,0.82121,1.0649,0.04412,0.42025,0.83128,0.000486042,0.000486042,0.000486042
49,1606.48,0.7813,0.82546,0.13478,0.45485,0.84136,0.99134,0.99536,0.99217,0.77701,0.94603,0.9551,0.93828,0.82003,0.81664,1.02244,0.04391,0.41361,0.82996,0.000477043,0.000477043,0.000477043
50,1617.69,0.77126,0.80699,0.13146,0.44683,0.83536,0.98775,0.99696,0.99329,0.7696,0.95268,0.95581,0.94417,0.82059,0.83218,1.03339,0.04255,0.41982,0.83077,0.000468044,0.000468044,0.000468044
51,1628.5,0.78756,0.8602,0.12966,0.4457,0.83586,0.99049,0.99275,0.99294,0.77648,0.94685,0.94929,0.93433,0.81507,0.80722,1.01769,0.04179,0.40742,0.82793,0.000459045,0.000459045,0.000459045
52,1639.68,0.77199,0.72735,0.12479,0.43427,0.83769,0.98974,0.99567,0.99289,0.78345,0.94902,0.95363,0.9377,0.82927,0.80886,0.99167,0.04061,0.41578,0.82657,0.000450046,0.000450046,0.000450046
53,1650.66,0.75662,0.93563,0.12751,0.43851,0.8306,0.98837,0.99615,0.99222,0.78369,0.94512,0.95995,0.94173,0.83601,0.80152,1.01322,0.04051,0.41446,0.82603,0.000441047,0.000441047,0.000441047
54,1661.7,0.76152,0.86892,0.12618,0.4392,0.83895,0.9885,0.99466,0.99233,0.78261,0.95069,0.95631,0.94185,0.82586,0.80696,0.99737,0.04099,0.40706,0.82724,0.000432048,0.000432048,0.000432048
55,1672.64,0.75104,0.72024,0.10896,0.42533,0.83285,0.98832,0.9971,0.99261,0.78029,0.94444,0.95322,0.93819,0.83537,0.80154,0.977,0.03633,0.40453,0.82593,0.000423049,0.000423049,0.000423049
56,1683.51,0.74092,0.87149,0.11906,0.42354,0.8353,0.98974,0.99908,0.99252,0.78178,0.95011,0.95814,0.94125,0.83018,0.80324,0.99019,0.0365,0.4001,0.82541,0.000414049,0.000414049,0.000414049
57,1694.27,0.74703,0.86892,0.11119,0.42154,0.83094,0.98668,0.9989,0.99243,0.7806,0.95071,0.9545,0.94133,0.82332,0.81421,1.03982,0.03717,0.39924,0.82709,0.00040505,0.00040505,0.00040505
58,1705.32,0.7414,0.7248,0.11969,0.41813,0.8352,0.98919,0.99776,0.99348,0.78342,0.95188,0.95866,0.94624,0.83262,0.8109,0.99421,0.03768,0.40002,0.82706,0.000396051,0.000396051,0.000396051
