epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,314.748,1.33893,0.90157,1.2079,0.74159,0.73741,0.73738,0.44793,1.51035,0.95809,1.35745,0.000560909,0.000560909,0.000560909
43,322.126,1.35884,0.884,1.19615,0.7837,0.70457,0.77392,0.47295,1.52825,0.94378,1.3802,0.000555833,0.000555833,0.000555833
44,329.901,1.36807,0.91044,1.21191,0.7699,0.7392,0.77296,0.46457,1.50999,0.92112,1.37265,0.000550758,0.000550758,0.000550758
45,336.907,1.35905,0.8844,1.20443,0.7368,0.70846,0.74301,0.445,1.50379,0.96004,1.36614,0.000545682,0.000545682,0.000545682
46,343.822,1.35956,0.86979,1.20115,0.75507,0.72535,0.7694,0.46246,1.51856,0.93849,1.37115,0.000540607,0.000540607,0.000540607
47,350.841,1.34893,0.83735,1.17663,0.76792,0.72448,0.76184,0.46301,1.48836,0.93534,1.35137,0.000535532,0.000535532,0.000535532
48,358.352,1.35387,0.85098,1.18032,0.76679,0.7397,0.76161,0.47074,1.49579,0.91479,1.35274,0.000530456,0.000530456,0.000530456
49,366.008,1.31931,0.84665,1.19459,0.73362,0.76228,0.75675,0.46105,1.51239,0.95342,1.37085,0.000525381,0.000525381,0.000525381
50,373.675,1.33106,0.85761,1.18728,0.7141,0.75386,0.75619,0.45855,1.50061,0.92155,1.3553,0.000520305,0.000520305,0.000520305
51,381.471,1.34283,0.87834,1.1928,0.74605,0.69859,0.74917,0.46023,1.49828,0.94094,1.36448,0.00051523,0.00051523,0.00051523
52,389.014,1.34633,0.83761,1.18524,0.76596,0.73507,0.75605,0.46748,1.4811,0.91141,1.34706,0.000510155,0.000510155,0.000510155
53,396.14,1.31111,0.85507,1.19648,0.7751,0.71457,0.78328,0.47928,1.50493,0.88267,1.3651,0.000505079,0.000505079,0.000505079
54,403.924,1.30157,0.83525,1.1782,0.73091,0.73016,0.75428,0.46484,1.48142,0.90798,1.35024,0.000500004,0.000500004,0.000500004
55,411.487,1.30895,0.82176,1.14974,0.76734,0.74859,0.78077,0.486,1.46788,0.90719,1.34255,0.000494928,0.000494928,0.000494928
56,419.234,1.31798,0.81816,1.18857,0.8163,0.72422,0.79023,0.48784,1.49723,0.94388,1.36611,0.000489853,0.000489853,0.000489853
57,426.944,1.30696,0.83647,1.1775,0.77294,0.75741,0.76773,0.47383,1.46486,0.89847,1.35394,0.000484778,0.000484778,0.000484778
58,433.82,1.29316,0.81993,1.1618,0.72928,0.77607,0.78194,0.47131,1.48867,0.89064,1.35969,0.000479702,0.000479702,0.000479702
59,441.349,1.30915,0.81567,1.16441,0.74196,0.76699,0.79826,0.49698,1.48619,0.88086,1.34972,0.000474627,0.000474627,0.000474627
60,448.507,1.29406,0.82682,1.16651,0.75683,0.7587,0.76927,0.48057,1.5171,0.922,1.35388,0.000469551,0.000469551,0.000469551
61,456.036,1.26535,0.78609,1.15349,0.76584,0.74462,0.76233,0.48208,1.48385,0.88757,1.33691,0.000464476,0.000464476,0.000464476
62,463.822,1.28036,0.81454,1.17842,0.76264,0.74827,0.78396,0.47708,1.49806,0.88131,1.36672,0.000459401,0.000459401,0.000459401
63,471.222,1.29956,0.80135,1.15147,0.75007,0.76449,0.76278,0.4792,1.49272,0.90343,1.35307,0.000454325,0.000454325,0.000454325
64,478.888,1.26226,0.78471,1.14589,0.75006,0.7682,0.79836,0.49758,1.48505,0.8823,1.34624,0.00044925,0.00044925,0.00044925
65,486.695,1.24663,0.77697,1.14503,0.78655,0.74291,0.77115,0.48024,1.50743,0.89137,1.37452,0.000444174,0.000444174,0.000444174
66,494.416,1.26357,0.76824,1.14266,0.75143,0.76593,0.79263,0.50304,1.50538,0.86252,1.35521,0.000439099,0.000439099,0.000439099
67,502.173,1.26409,0.77433,1.14596,0.76833,0.75316,0.79518,0.49446,1.50463,0.8872,1.35385,0.000434024,0.000434024,0.000434024
68,509.763,1.23225,0.7629,1.14186,0.77812,0.75627,0.79226,0.49241,1.50984,0.87699,1.37617,0.000428948,0.000428948,0.000428948
69,517.362,1.24511,0.79112,1.17932,0.81126,0.72474,0.78077,0.48608,1.52117,0.90122,1.36904,0.000423873,0.000423873,0.000423873
70,524.98,1.25468,0.77151,1.13064,0.79071,0.76284,0.7867,0.48774,1.51518,0.88043,1.36881,0.000418797,0.000418797,0.000418797
71,532.799,1.20922,0.75658,1.13239,0.74889,0.77209,0.77073,0.48556,1.49902,0.87163,1.35792,0.000413722,0.000413722,0.000413722
72,540.326,1.22731,0.76082,1.1245,0.74261,0.75742,0.76584,0.48121,1.49252,0.88328,1.35562,0.000408647,0.000408647,0.000408647
73,547.313,1.21976,0.74079,1.132,0.78795,0.75271,0.78466,0.49782,1.48368,0.87631,1.34133,0.000403571,0.000403571,0.000403571
74,555.037,1.23407,0.75698,1.13523,0.7858,0.7664,0.79748,0.50111,1.4649,0.85668,1.341,0.000398496,0.000398496,0.000398496
