name,connection_type,axis,member_count,member_ids,adjacent_pairs
terminal_upper_col_22,vertical_terminal_strip,vertical,5,A22;B22;C22;D22;E22,A22<->B22;B22<->C22;C22<->D22;D22<->E22
terminal_lower_col_22,vertical_terminal_strip,vertical,5,F22;G22;H22;I22;J22,F22<->G22;G22<->H22;H22<->I22;I22<->J22
terminal_upper_col_23,vertical_terminal_strip,vertical,5,A23;B23;C23;D23;E23,A23<->B23;B23<->C23;C23<->D23;D23<->E23
terminal_lower_col_23,vertical_terminal_strip,vertical,5,F23;G23;H23;I23;J23,F23<->G23;G23<->H23;H23<->I23;I23<->J23
terminal_upper_col_24,vertical_terminal_strip,vertical,5,A24;B24;C24;D24;E24,A24<->B24;B24<->C24;C24<->D24;D24<->E24
terminal_lower_col_24,vertical_terminal_strip,vertical,5,F24;G24;H24;I24;J24,F24<->G24;G24<->H24;H24<->I24;I24<->J24
terminal_upper_col_25,vertical_terminal_strip,vertical,5,A25;B25;C25;D25;E25,A25<->B25;B25<->C25;C25<->D25;D25<->E25
terminal_lower_col_25,vertical_terminal_strip,vertical,5,F25;G25;H25;I25;J25,F25<->G25;G25<->H25;H25<->I25;I25<->J25
terminal_upper_col_26,vertical_terminal_strip,vertical,5,A26;B26;C26;D26;E26,A26<->B26;B26<->C26;C26<->D26;D26<->E26
terminal_lower_col_26,vertical_terminal_strip,vertical,5,F26;G26;H26;I26;J26,F26<->G26;G26<->H26;H26<->I26;I26<->J26
terminal_upper_col_27,vertical_terminal_strip,vertical,5,A27;B27;C27;D27;E27,A27<->B27;B27<->C27;C27<->D27;D27<->E27
terminal_lower_col_27,vertical_terminal_strip,vertical,5,F27;G27;H27;I27;J27,F27<->G27;G27<->H27;H27<->I27;I27<->J27
terminal_upper_col_28,vertical_terminal_strip,vertical,5,A28;B28;C28;D28;E28,A28<->B28;B28<->C28;C28<->D28;D28<->E28
terminal_lower_col_28,vertical_terminal_strip,vertical,5,F28;G28;H28;I28;J28,F28<->G28;G28<->H28;H28<->I28;I28<->J28
terminal_upper_col_29,vertical_terminal_strip,vertical,5,A29;B29;C29;D29;E29,A29<->B29;B29<->C29;C29<->D29;D29<->E29
terminal_lower_col_29,vertical_terminal_strip,vertical,5,F29;G29;H29;I29;J29,F29<->G29;G29<->H29;H29<->I29;I29<->J29
terminal_upper_col_30,vertical_terminal_strip,vertical,5,A30;B30;C30;D30;E30,A30<->B30;B30<->C30;C30<->D30;D30<->E30
terminal_lower_col_30,vertical_terminal_strip,vertical,5,F30;G30;H30;I30;J30,F30<->G30;G30<->H30;H30<->I30;I30<->J30
terminal_upper_col_31,vertical_terminal_strip,vertical,5,A31;B31;C31;D31;E31,A31<->B31;B31<->C31;C31<->D31;D31<->E31
terminal_lower_col_31,vertical_terminal_strip,vertical,5,F31;G31;H31;I31;J31,F31<->G31;G31<->H31;H31<->I31;I31<->J31
terminal_upper_col_32,vertical_terminal_strip,vertical,5,A32;B32;C32;D32;E32,A32<->B32;B32<->C32;C32<->D32;D32<->E32
terminal_lower_col_32,vertical_terminal_strip,vertical,5,F32;G32;H32;I32;J32,F32<->G32;G32<->H32;H32<->I32;I32<->J32
terminal_upper_col_33,vertical_terminal_strip,vertical,5,A33;B33;C33;D33;E33,A33<->B33;B33<->C33;C33<->D33;D33<->E33
terminal_lower_col_33,vertical_terminal_strip,vertical,5,F33;G33;H33;I33;J33,F33<->G33;G33<->H33;H33<->I33;I33<->J33
terminal_upper_col_34,vertical_terminal_strip,vertical,5,A34;B34;C34;D34;E34,A34<->B34;B34<->C34;C34<->D34;D34<->E34
terminal_lower_col_34,vertical_terminal_strip,vertical,5,F34;G34;H34;I34;J34,F34<->G34;G34<->H34;H34<->I34;I34<->J34
terminal_upper_col_35,vertical_terminal_strip,vertical,5,A35;B35;C35;D35;E35,A35<->B35;B35<->C35;C35<->D35;D35<->E35
terminal_lower_col_35,vertical_terminal_strip,vertical,5,F35;G35;H35;I35;J35,F35<->G35;G35<->H35;H35<->I35;I35<->J35
terminal_upper_col_36,vertical_terminal_strip,vertical,5,A36;B36;C36;D36;E36,A36<->B36;B36<->C36;C36<->D36;D36<->E36
terminal_lower_col_36,vertical_terminal_strip,vertical,5,F36;G36;H36;I36;J36,F36<->G36;G36<->H36;H36<->I36;I36<->J36
terminal_upper_col_37,vertical_terminal_strip,vertical,5,A37;B37;C37;D37;E37,A37<->B37;B37<->C37;C37<->D37;D37<->E37
terminal_lower_col_37,vertical_terminal_strip,vertical,5,F37;G37;H37;I37;J37,F37<->G37;G37<->H37;H37<->I37;I37<->J37
terminal_upper_col_38,vertical_terminal_strip,vertical,5,A38;B38;C38;D38;E38,A38<->B38;B38<->C38;C38<->D38;D38<->E38
terminal_lower_col_38,vertical_terminal_strip,vertical,5,F38;G38;H38;I38;J38,F38<->G38;G38<->H38;H38<->I38;I38<->J38
terminal_upper_col_39,vertical_terminal_strip,vertical,5,A39;B39;C39;D39;E39,A39<->B39;B39<->C39;C39<->D39;D39<->E39
terminal_lower_col_39,vertical_terminal_strip,vertical,5,F39;G39;H39;I39;J39,F39<->G39;G39<->H39;H39<->I39;I39<->J39
terminal_upper_col_40,vertical_terminal_strip,vertical,5,A40;B40;C40;D40;E40,A40<->B40;B40<->C40;C40<->D40;D40<->E40
terminal_lower_col_40,vertical_terminal_strip,vertical,5,F40;G40;H40;I40;J40,F40<->G40;G40<->H40;H40<->I40;I40<->J40
terminal_upper_col_41,vertical_terminal_strip,vertical,5,A41;B41;C41;D41;E41,A41<->B41;B41<->C41;C41<->D41;D41<->E41
terminal_lower_col_41,vertical_terminal_strip,vertical,5,F41;G41;H41;I41;J41,F41<->G41;G41<->H41;H41<->I41;I41<->J41
terminal_upper_col_42,vertical_terminal_strip,vertical,5,A42;B42;C42;D42;E42,A42<->B42;B42<->C42;C42<->D42;D42<->E42
