epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1361.65,0.75303,0.39962,0.83134,0.98904,0.99565,0.99318,0.82345,0.74732,0.36239,0.82947,0.000424187,0.000424187,0.000424187
43,1399.45,0.72814,0.38848,0.83326,0.98644,0.99222,0.9929,0.8272,0.74156,0.35689,0.82842,0.000417119,0.000417119,0.000417119
44,1443.21,0.72946,0.38647,0.82449,0.98324,0.99914,0.99356,0.8281,0.74337,0.35705,0.82824,0.00041005,0.00041005,0.00041005
45,1476.42,0.74278,0.39623,0.83217,0.98952,0.99485,0.99351,0.81634,0.76498,0.35992,0.83175,0.000402982,0.000402982,0.000402982
46,1506.78,0.74079,0.38871,0.83111,0.98804,0.9954,0.99317,0.82115,0.74684,0.35304,0.83212,0.000395913,0.000395913,0.000395913
47,1531.44,0.74853,0.39181,0.83066,0.98755,0.9964,0.99337,0.82402,0.75499,0.35604,0.83318,0.000388844,0.000388844,0.000388844
48,1569.34,0.72548,0.37788,0.82736,0.98589,0.99879,0.99343,0.8248,0.75064,0.35733,0.83158,0.000381776,0.000381776,0.000381776
49,1604.46,0.73566,0.3863,0.82668,0.98723,0.99432,0.99342,0.81899,0.75256,0.35995,0.83147,0.000374707,0.000374707,0.000374707
50,1644.01,0.72882,0.38157,0.82675,0.98982,0.99445,0.99389,0.82403,0.75038,0.35801,0.83018,0.000367639,0.000367639,0.000367639
51,1672.96,0.72381,0.3914,0.83291,0.99025,0.99382,0.99373,0.82013,0.77868,0.35832,0.83869,0.00036057,0.00036057,0.00036057
52,1703.94,0.71178,0.382,0.83009,0.98632,0.99702,0.99329,0.8204,0.76138,0.35541,0.8331,0.000353501,0.000353501,0.000353501
53,1737.76,0.73208,0.38146,0.82067,0.98898,0.99677,0.99311,0.82422,0.7476,0.35313,0.83421,0.000346433,0.000346433,0.000346433
54,1771.01,0.73643,0.38081,0.82928,0.98663,0.99513,0.99362,0.81814,0.7523,0.35255,0.83284,0.000339364,0.000339364,0.000339364
55,1808.8,0.72026,0.38279,0.82424,0.98743,0.99655,0.99316,0.81984,0.74735,0.34809,0.82927,0.000332296,0.000332296,0.000332296
56,1854.37,0.70406,0.37074,0.82549,0.98863,0.9946,0.9935,0.82203,0.75321,0.34893,0.8311,0.000325227,0.000325227,0.000325227
57,1887.69,0.72121,0.37403,0.82609,0.98493,0.9973,0.99344,0.82651,0.74824,0.34931,0.8315,0.000318158,0.000318158,0.000318158
58,1941.09,0.71008,0.36616,0.82408,0.98522,0.99691,0.99333,0.81976,0.75165,0.34776,0.83098,0.00031109,0.00031109,0.00031109
59,1979.55,0.71849,0.37078,0.82342,0.98708,0.9957,0.99341,0.82079,0.74202,0.34252,0.82734,0.000304021,0.000304021,0.000304021
60,2016.96,0.71336,0.3746,0.81963,0.98684,0.99498,0.99385,0.82167,0.74337,0.34842,0.82831,0.000296953,0.000296953,0.000296953
61,2049.46,0.71932,0.36951,0.81998,0.98812,0.99779,0.99329,0.82933,0.74835,0.34715,0.83123,0.000289884,0.000289884,0.000289884
62,2082.96,0.70715,0.36608,0.82854,0.99192,0.99349,0.9936,0.82915,0.74502,0.34825,0.83021,0.000282815,0.000282815,0.000282815
63,2120.48,0.69433,0.36158,0.82601,0.99032,0.99541,0.99335,0.82397,0.74706,0.34836,0.83175,0.000275747,0.000275747,0.000275747
64,2148.58,0.69405,0.3582,0.82337,0.98781,0.99524,0.99299,0.83033,0.74528,0.34376,0.83009,0.000268678,0.000268678,0.000268678
