epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1159.13,0.81003,0.47239,0.85996,0.98359,0.99197,0.98918,0.79477,0.872,0.44317,0.86808,0.000456863,0.000456863,0.000456863
43,1185.16,0.82104,0.48169,0.86716,0.98646,0.99125,0.99217,0.8027,0.86291,0.44202,0.86313,0.00044925,0.00044925,0.00044925
44,1211.17,0.81531,0.47614,0.86532,0.98754,0.98886,0.99087,0.79787,0.86102,0.44506,0.86342,0.000441637,0.000441637,0.000441637
45,1237.19,0.82378,0.48031,0.86578,0.98286,0.99121,0.99146,0.79766,0.87239,0.4425,0.86713,0.000434024,0.000434024,0.000434024
46,1262.91,0.79667,0.46352,0.86463,0.98194,0.9926,0.99157,0.80321,0.85701,0.43393,0.86389,0.000426411,0.000426411,0.000426411
47,1288.92,0.79347,0.45925,0.85929,0.98438,0.99016,0.99013,0.79787,0.86441,0.43163,0.86607,0.000418797,0.000418797,0.000418797
48,1314.96,0.79022,0.45894,0.86006,0.98375,0.98638,0.99011,0.8006,0.85538,0.4386,0.86215,0.000411184,0.000411184,0.000411184
49,1341.01,0.80013,0.45899,0.8583,0.98335,0.99078,0.99037,0.79467,0.87478,0.44042,0.86793,0.000403571,0.000403571,0.000403571
50,1366.89,0.78501,0.45453,0.85911,0.98527,0.99082,0.99153,0.79989,0.87096,0.43478,0.86299,0.000395958,0.000395958,0.000395958
51,1392.87,0.79959,0.45472,0.86127,0.98297,0.98955,0.98981,0.79996,0.85836,0.43321,0.86302,0.000388345,0.000388345,0.000388345
52,1420.02,0.79881,0.44664,0.86178,0.98118,0.99191,0.98933,0.80073,0.86159,0.42742,0.86373,0.000380732,0.000380732,0.000380732
53,1445.88,0.78996,0.44885,0.86364,0.9867,0.99214,0.99133,0.80683,0.85379,0.43223,0.86037,0.000373119,0.000373119,0.000373119
54,1472.17,0.78258,0.44586,0.85308,0.98354,0.99216,0.9906,0.80087,0.86255,0.42639,0.86417,0.000365506,0.000365506,0.000365506
55,1497.95,0.78585,0.44398,0.85522,0.98788,0.98985,0.99127,0.79923,0.85493,0.42175,0.8624,0.000357893,0.000357893,0.000357893
56,1524.35,0.78668,0.43817,0.85262,0.98582,0.99249,0.99175,0.80571,0.85187,0.41661,0.86006,0.00035028,0.00035028,0.00035028
