epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,941.658,0.78529,0.41327,0.83618,0.99629,0.99687,0.995,0.79634,0.78873,0.37815,0.82411,0.000540037,0.000540037,0.000540037
43,952.171,0.78178,0.4118,0.82428,0.994,0.9978,0.99486,0.79799,0.7746,0.37571,0.81915,0.000531038,0.000531038,0.000531038
44,963.208,0.75835,0.39963,0.83261,0.99235,0.99974,0.99496,0.79505,0.77725,0.366,0.82008,0.000522039,0.000522039,0.000522039
45,1111.71,0.77117,0.39928,0.83665,0.99354,0.99663,0.995,0.79695,0.78865,0.37238,0.82103,0.00051304,0.00051304,0.00051304
46,1213.25,0.76495,0.39967,0.82581,0.99546,0.99651,0.995,0.79847,0.78328,0.368,0.82165,0.00050404,0.00050404,0.00050404
47,1355.73,0.76298,0.39327,0.83024,0.9925,0.99717,0.99481,0.79884,0.76997,0.36356,0.81847,0.000495041,0.000495041,0.000495041
48,1369.41,0.76473,0.39257,0.83198,0.99165,0.99803,0.99496,0.8025,0.77131,0.35948,0.81815,0.000486042,0.000486042,0.000486042
49,1423.2,0.74982,0.39136,0.82809,0.99324,0.99861,0.99497,0.80075,0.76392,0.36317,0.81674,0.000477043,0.000477043,0.000477043
50,1480.07,0.75426,0.39853,0.82636,0.9936,0.99644,0.99499,0.80403,0.76686,0.36651,0.81797,0.000468044,0.000468044,0.000468044
51,1529.52,0.76468,0.39485,0.82427,0.99336,0.9994,0.99498,0.80262,0.76836,0.3633,0.81787,0.000459045,0.000459045,0.000459045
52,1606.3,0.76377,0.39355,0.83015,0.99458,0.99953,0.995,0.8049,0.77682,0.36049,0.81901,0.000450046,0.000450046,0.000450046
53,1656.96,0.75125,0.3902,0.82486,0.99146,0.99676,0.99498,0.80198,0.77193,0.35998,0.81647,0.000441047,0.000441047,0.000441047
54,1667.25,0.75111,0.3938,0.82893,0.99291,0.99967,0.99499,0.79895,0.7646,0.35823,0.81559,0.000432048,0.000432048,0.000432048
55,1710.97,0.73533,0.38446,0.82152,0.99526,0.99683,0.995,0.80008,0.77538,0.35608,0.8176,0.000423049,0.000423049,0.000423049
56,1795.45,0.73152,0.38074,0.82578,0.99616,0.99852,0.995,0.80168,0.76661,0.36269,0.818,0.000414049,0.000414049,0.000414049
57,1849.06,0.75299,0.38455,0.82615,0.99331,0.99833,0.99499,0.79686,0.77237,0.36337,0.8186,0.00040505,0.00040505,0.00040505
58,1891.99,0.74473,0.38235,0.82678,0.98707,0.99854,0.99475,0.79672,0.77307,0.35795,0.81821,0.000396051,0.000396051,0.000396051
59,1931.86,0.74371,0.38617,0.83094,0.99261,0.99858,0.99498,0.80198,0.77005,0.3557,0.81798,0.000387052,0.000387052,0.000387052
60,1976.95,0.73461,0.3755,0.8239,0.99491,0.9972,0.995,0.80696,0.76569,0.35117,0.81594,0.000378053,0.000378053,0.000378053
61,2024.01,0.73513,0.37065,0.8205,0.99414,0.99694,0.995,0.80702,0.7567,0.35085,0.81519,0.000369054,0.000369054,0.000369054
62,2056.57,0.72341,0.36813,0.81778,0.99479,0.99864,0.99499,0.80555,0.75669,0.34242,0.81562,0.000360055,0.000360055,0.000360055
63,2083.63,0.72897,0.36813,0.8177,0.99665,0.99655,0.995,0.80882,0.75332,0.3427,0.81439,0.000351056,0.000351056,0.000351056
64,2126.47,0.72481,0.36627,0.82333,0.99411,0.99588,0.99497,0.80566,0.76736,0.3505,0.81815,0.000342057,0.000342057,0.000342057
65,2136.46,0.72523,0.36627,0.82046,0.99402,0.99742,0.99498,0.8074,0.75324,0.34608,0.81872,0.000333058,0.000333058,0.000333058
66,2146.26,0.7237,0.37168,0.8223,0.99175,0.99849,0.99491,0.80096,0.76446,0.34753,0.81839,0.000324058,0.000324058,0.000324058
67,2156.06,0.74185,0.3697,0.82463,0.99373,0.99993,0.99498,0.80758,0.76001,0.341,0.81697,0.000315059,0.000315059,0.000315059
68,2165.74,0.71932,0.36485,0.82118,0.99458,0.99936,0.995,0.81147,0.74976,0.34139,0.81604,0.00030606,0.00030606,0.00030606
69,2176.29,0.689,0.35217,0.82268,0.99572,0.99781,0.995,0.80836,0.74802,0.33975,0.81432,0.000297061,0.000297061,0.000297061
70,2186.86,0.71783,0.3563,0.81935,0.99405,0.9975,0.99499,0.81422,0.75088,0.34369,0.81597,0.000288062,0.000288062,0.000288062
71,2197.67,0.71794,0.36243,0.82412,0.99423,0.99716,0.99488,0.80949,0.75308,0.33861,0.81458,0.000279063,0.000279063,0.000279063
72,2219.5,0.71566,0.36228,0.81937,0.99381,0.99817,0.995,0.80851,0.75607,0.34141,0.81594,0.000270064,0.000270064,0.000270064
73,2256.76,0.72352,0.36337,0.82018,0.99475,0.99914,0.995,0.80838,0.7497,0.3335,0.81541,0.000261065,0.000261065,0.000261065
74,2267.11,0.70754,0.35158,0.8164,0.99566,0.99728,0.995,0.8114,0.74434,0.33623,0.81479,0.000252066,0.000252066,0.000252066
75,2277.03,0.69477,0.35194,0.81496,0.99561,1,0.995,0.8112,0.75468,0.33997,0.81681,0.000243067,0.000243067,0.000243067
76,2302.68,0.70061,0.35525,0.81891,0.99526,0.99876,0.99499,0.80487,0.74977,0.33315,0.81603,0.000234068,0.000234068,0.000234068
77,2333.91,0.70167,0.352,0.82036,0.99452,0.99743,0.995,0.80909,0.74804,0.33512,0.8174,0.000225068,0.000225068,0.000225068
78,2379.95,0.69604,0.34944,0.82115,0.99363,0.99832,0.99499,0.809,0.75349,0.33498,0.8156,0.000216069,0.000216069,0.000216069
79,2414.74,0.70533,0.34778,0.81707,0.99403,0.99887,0.99499,0.81171,0.74251,0.32914,0.81572,0.00020707,0.00020707,0.00020707
80,2434.63,0.68134,0.34775,0.81436,0.99169,0.99683,0.99489,0.81136,0.74608,0.33423,0.81531,0.000198071,0.000198071,0.000198071
81,2444.29,0.70183,0.34679,0.81608,0.99388,0.99845,0.99498,0.81284,0.74851,0.33052,0.81549,0.000189072,0.000189072,0.000189072
82,2454.55,0.68928,0.34456,0.81731,0.99605,0.99763,0.995,0.81244,0.75357,0.32934,0.81643,0.000180073,0.000180073,0.000180073
83,2464.68,0.68612,0.34151,0.81629,0.99547,0.99738,0.995,0.80867,0.75145,0.32864,0.81615,0.000171074,0.000171074,0.000171074
84,2508.54,0.67733,0.34426,0.81539,0.99413,0.99702,0.99496,0.81313,0.74505,0.32947,0.81477,0.000162075,0.000162075,0.000162075
85,2550.32,0.67931,0.33941,0.81821,0.99403,0.99701,0.99495,0.81234,0.74728,0.33016,0.81478,0.000153076,0.000153076,0.000153076
86,2594.75,0.66612,0.3377,0.81929,0.9935,0.99709,0.99495,0.81237,0.74843,0.33151,0.81427,0.000144077,0.000144077,0.000144077
87,2626.99,0.66966,0.33482,0.81503,0.99337,0.99736,0.99485,0.8118,0.75103,0.32757,0.81382,0.000135077,0.000135077,0.000135077
88,2652.2,0.66858,0.3312,0.81507,0.99294,0.99837,0.99493,0.81353,0.7441,0.32508,0.81279,0.000126078,0.000126078,0.000126078
89,2662.29,0.6676,0.33353,0.81505,0.99253,0.9978,0.99495,0.8118,0.74577,0.31763,0.81382,0.000117079,0.000117079,0.000117079
90,2672.52,0.66984,0.33667,0.81712,0.99498,0.99783,0.99495,0.81118,0.74299,0.32091,0.81339,0.00010808,0.00010808,0.00010808
91,2735.63,0.6625,0.31866,0.80633,0.99559,0.99448,0.995,0.81089,0.74948,0.32371,0.81465,9.9081e-05,9.9081e-05,9.9081e-05
92,2745.3,0.6702,0.31903,0.81273,0.9971,0.99367,0.995,0.81081,0.74754,0.3241,0.81392,9.00819e-05,9.00819e-05,9.00819e-05
93,2755.52,0.6529,0.31493,0.80738,0.99242,0.99852,0.995,0.80847,0.7526,0.32373,0.81435,8.10828e-05,8.10828e-05,8.10828e-05
94,2765.05,0.65522,0.31188,0.80133,0.99479,0.99727,0.995,0.80911,0.75266,0.32289,0.81418,7.20837e-05,7.20837e-05,7.20837e-05
95,2774.65,0.64328,0.30942,0.80568,0.99699,0.9944,0.995,0.81364,0.74639,0.32015,0.81452,6.30846e-05,6.30846e-05,6.30846e-05
96,2784.26,0.64339,0.3053,0.80649,0.99536,0.99698,0.995,0.81283,0.74426,0.32139,0.81391,5.40855e-05,5.40855e-05,5.40855e-05
97,2793.86,0.64809,0.30805,0.80501,0.9945,0.9972,0.995,0.81051,0.74494,0.31808,0.81427,4.50864e-05,4.50864e-05,4.50864e-05
98,2803.38,0.64044,0.30747,0.80606,0.99578,0.99591,0.995,0.8121,0.74359,0.31713,0.81438,3.60873e-05,3.60873e-05,3.60873e-05
99,2812.94,0.63523,0.30464,0.79902,0.99634,0.99513,0.995,0.8121,0.74382,0.3171,0.81407,2.70882e-05,2.70882e-05,2.70882e-05
100,2822.75,0.63616,0.30165,0.81099,0.99435,0.99683,0.995,0.81242,0.74196,0.3159,0.81347,1.80891e-05,1.80891e-05,1.80891e-05
