epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,705.166,0.93057,1.20644,0.2177,0.57384,0.89247,0.97809,0.97698,0.98949,0.7591,0.93682,0.9354,0.93125,0.72615,0.93235,1.42705,0.0926,0.52913,0.88783,0.000675023,0.000675023,0.000675023
28,730.859,0.88767,1.02437,0.22972,0.57111,0.89046,0.98153,0.98024,0.98834,0.75548,0.93708,0.93565,0.92464,0.72494,0.92352,1.47538,0.09149,0.52327,0.88632,0.000666024,0.000666024,0.000666024
29,756.986,0.90972,1.07961,0.21704,0.56337,0.8895,0.97896,0.99048,0.98929,0.75885,0.92936,0.9402,0.92319,0.70923,0.91507,1.47144,0.08622,0.51068,0.88304,0.000657025,0.000657025,0.000657025
30,785.289,0.89765,1.05956,0.21894,0.5604,0.89669,0.98034,0.98525,0.98883,0.75069,0.93127,0.93569,0.91787,0.7333,0.93174,1.43261,0.08197,0.51587,0.88707,0.000648026,0.000648026,0.000648026
31,811.644,0.89747,1.09402,0.2107,0.55935,0.88513,0.98033,0.98254,0.99013,0.76229,0.9298,0.94129,0.92491,0.7444,0.92052,1.37705,0.07765,0.51901,0.88591,0.000639027,0.000639027,0.000639027
32,838.053,0.90854,1.1044,0.20919,0.55519,0.88795,0.98832,0.97028,0.98737,0.76242,0.92677,0.93415,0.92448,0.73473,0.91767,1.39791,0.07589,0.51564,0.88813,0.000630028,0.000630028,0.000630028
33,863.913,0.89123,1.10851,0.21419,0.54705,0.89086,0.9787,0.98518,0.98896,0.76087,0.92883,0.9393,0.92044,0.75404,0.9206,1.36826,0.07825,0.51087,0.88801,0.000621029,0.000621029,0.000621029
34,890.273,0.88512,1.02943,0.21388,0.54752,0.88769,0.98195,0.98347,0.98779,0.76414,0.93711,0.93767,0.93418,0.74917,0.91705,1.39007,0.07764,0.50186,0.88906,0.00061203,0.00061203,0.00061203
35,916.285,0.88387,1.0303,0.19741,0.54031,0.88357,0.98387,0.98118,0.9878,0.7603,0.92596,0.94143,0.92975,0.75361,0.91523,1.40704,0.07116,0.49609,0.88678,0.000603031,0.000603031,0.000603031
36,942.517,0.87764,0.96805,0.19456,0.53433,0.8798,0.97957,0.98533,0.98918,0.76141,0.92997,0.93145,0.92282,0.75389,0.90447,1.39774,0.07269,0.49273,0.88429,0.000594031,0.000594031,0.000594031
